,walk_length,in_giant_component,started_in_2core,distinct_sites,is_retroceding,c
28215,744,True,True,436,False,6
28216,2103,True,True,780,False,6
28217,3720,True,True,913,False,6
28218,2,True,True,2,True,6
28219,2,True,True,2,True,6
28220,2,True,True,2,True,6
28221,283,True,True,191,False,6
28222,232,True,True,167,False,6
28223,438,True,True,301,False,6
28224,6,True,True,4,True,6
28225,19578,True,False,998,False,6
28226,9913,True,True,989,False,6
28227,138,True,True,110,False,6
28228,1788,True,True,723,False,6
28229,1009,True,True,537,False,6
28230,1387,True,True,636,False,6
28231,4540,True,True,929,False,6
28232,415,True,True,297,False,6
28233,700,True,True,386,False,6
28234,4,True,True,3,True,6
28235,4293,True,True,923,False,6
28236,8903,True,True,987,False,6
28237,1170,True,True,581,False,6
28238,16,True,True,13,False,6
28239,267,True,True,181,False,6
28240,476,True,True,314,False,6
28241,3776,True,True,892,False,6
28242,4058,True,True,915,False,6
28243,405,True,True,274,False,6
28244,2,True,True,2,True,6
28245,97,True,True,75,False,6
28246,1126,True,True,594,False,6
28247,2,True,True,2,True,6
28248,1,False,False,1,False,6
28249,1277,True,True,617,False,6
28250,2611,True,True,827,False,6
28251,2413,True,True,797,False,6
28252,2,True,True,2,True,6
28253,9318,True,False,986,False,6
28254,57,True,True,51,False,6
28255,507,True,True,314,False,6
28256,2132,True,True,798,False,6
28257,294,True,True,202,False,6
28258,2,True,True,2,True,6
28259,57,True,True,48,False,6
28260,164,True,True,113,False,6
28261,2090,True,True,782,False,6
28262,2,True,True,2,True,6
28263,2348,True,True,822,False,6
28264,886,True,True,500,False,6
28265,982,True,True,514,False,6
28266,883,True,True,492,False,6
28267,199,True,True,145,False,6
28268,2,True,True,2,True,6
28269,3165,True,True,869,False,6
28270,219,True,True,169,False,6
28271,353,True,True,233,False,6
28272,240,True,True,171,False,6
28273,1577,True,True,664,False,6
28274,584,True,True,363,False,6
28275,721,True,True,433,False,6
28276,923,True,True,522,False,6
28277,70,True,True,51,False,6
28278,3905,True,True,908,False,6
28279,1463,True,True,658,False,6
28280,671,True,True,422,False,6
28281,2469,True,True,827,False,6
28282,4831,True,True,945,False,6
28283,670,True,True,378,False,6
28284,518,True,True,333,False,6
28285,1308,True,True,601,False,6
28286,1988,True,True,737,False,6
28287,2,True,True,2,True,6
28288,2015,True,True,757,False,6
28289,529,True,True,324,False,6
28290,360,True,True,241,False,6
28291,1416,True,True,633,False,6
28292,547,True,True,348,False,6
28293,3235,True,True,881,False,6
28294,10,True,True,6,False,6
28295,2,True,True,2,True,6
28296,15580,True,False,998,False,6
28297,1609,True,True,701,False,6
28298,224,True,True,162,False,6
28299,660,True,True,411,False,6
28300,3459,True,True,892,False,6
28301,469,True,True,295,False,6
28302,2,True,True,2,True,6
28303,652,True,True,362,False,6
28304,117,True,True,86,False,6
28305,1060,True,True,561,False,6
28306,806,True,True,457,False,6
28307,2,True,True,2,True,6
28308,26,True,True,23,False,6
28309,2,True,True,2,True,6
